filename,site,true_class_from_name,pred_class_idx,pred_class_label,pred_conf
2016 10 28 03 59 49_f01_antelope.jpg,f01,antelope,0,waterbuck,0.5961498618125916
2016 07 18 04 08 09_h03_antelope.jpg,h03,antelope,4,bushbuck,0.4566001296043396
01050120_g12_antelope.jpg,g12,antelope,4,bushbuck,0.5838050842285156
12120579_g12_antelope.jpg,g12,antelope,4,bushbuck,0.5293482542037964
EK001431_f01_antelope.jpg,f01,antelope,7,genet,0.8758205771446228
03220655_g08_antelope.jpg,g08,antelope,4,bushbuck,0.40916091203689575
2016 10 21 08 24 11_h07_antelope.jpg,h07,antelope,2,warthog,0.6028419733047485
04190399_f11_antelope.jpg,f11,antelope,4,bushbuck,0.6225436925888062
2016 10 26 01 04 34_k08_antelope.jpg,k08,antelope,4,bushbuck,0.994215190410614
2016 10 19 08 13 16_l05_antelope.jpg,l05,antelope,2,warthog,0.4479755461215973
EK000275_i08_antelope.jpg,i08,antelope,4,bushbuck,0.9859005808830261
08250782_l11_antelope.jpg,l11,antelope,4,bushbuck,0.77778559923172
08230188_f01_antelope.jpg,f01,antelope,0,waterbuck,0.5520696640014648
09230189_e08_antelope.jpg,e08,antelope,9,wildebeest,0.4770753085613251
01170027_i10_antelope.jpg,i10,antelope,0,waterbuck,0.9822235107421875
EK007978_01_f07_antelope.jpg,f07,antelope,0,waterbuck,0.38437849283218384
2016 08 03 04 21 03_h09_antelope.jpg,h09,antelope,2,warthog,0.8402090668678284
2016 07 28 17 29 30_g06_antelope.jpg,g06,antelope,2,warthog,0.9683222770690918
06070658_b09_antelope.jpg,b09,antelope,0,waterbuck,0.9904851317405701
2016 09 02 22 52 16_m10_antelope.jpg,m10,antelope,4,bushbuck,0.32075583934783936
EK004962_f07_antelope.jpg,f07,antelope,2,warthog,0.3514786660671234
EK009752_h05_antelope.jpg,h05,antelope,2,warthog,0.61896812915802
01200545_c08_antelope.jpg,c08,antelope,5,oribi,0.688295841217041
2016 10 26 22 38 52_h05_antelope.jpg,h05,antelope,3,impala,0.6791073083877563
01180026_l11_antelope.jpg,l11,antelope,2,warthog,0.3368232548236847
2016 08 07 17 49 41_f11_antelope.jpg,f11,antelope,8,nyala,0.8461492657661438
2016 10 28 18 24 09_e06_antelope.jpg,e06,antelope,2,warthog,0.5540211200714111
2016 10 17 22 20 46_d05_antelope.jpg,d05,antelope,8,nyala,0.389615923166275
EK000908_02_h05_antelope.jpg,h05,antelope,3,impala,0.5546022057533264
2016 08 08 00 37 06_k10_antelope.jpg,k10,antelope,4,bushbuck,0.49691569805145264
10290309_a10_antelope.jpg,a10,antelope,1,baboon,0.7338626384735107
11060230_f01_antelope.jpg,f01,antelope,0,waterbuck,0.3756708800792694
06020636_b09_antelope.jpg,b09,antelope,0,waterbuck,0.9649561643600464
EK009023_01_j03_antelope.jpg,j03,antelope,8,nyala,0.32511377334594727
02280991_j07_antelope.jpg,j07,antelope,0,waterbuck,0.844276487827301
09240110_f05_antelope.jpg,f05,antelope,5,oribi,0.5134373307228088
2016 09 11 20 19 13_c08_antelope.jpg,c08,antelope,4,bushbuck,0.49310293793678284
08120574_k08_antelope.jpg,k08,antelope,2,warthog,0.9124981164932251
04130978_g08_antelope.jpg,g08,antelope,0,waterbuck,0.7918201684951782
2016 08 06 19 53 54_i10_antelope.jpg,i10,antelope,2,warthog,0.37835589051246643
2016 10 11 07 21 24_g02_antelope.jpg,g02,antelope,1,baboon,0.7288725972175598
2016 07 13 21 43 57_k06_antelope.jpg,k06,antelope,2,warthog,0.7918297052383423
EK004166_f07_antelope.jpg,f07,antelope,2,warthog,0.8372558355331421
08180238_k12_antelope.jpg,k12,antelope,1,baboon,0.8000777363777161
2016 10 29 11 15 25_e02_antelope.jpg,e02,antelope,4,bushbuck,0.8461010456085205
04100704_d07_antelope.jpg,d07,antelope,5,oribi,0.5531274676322937
11270816_l11_antelope.jpg,l11,antelope,2,warthog,0.9949032068252563
2016 08 08 00 34 03_k10_antelope.jpg,k10,antelope,6,elephant,0.39086440205574036
A_EK004159_k06_antelope.jpg,k06,antelope,2,warthog,0.9546111226081848
03200167_h03_antelope.jpg,h03,antelope,0,waterbuck,0.22727668285369873
08040469_c06_antelope.jpg,c06,antelope,4,bushbuck,0.928472101688385
EK006064_h05_antelope.jpg,h05,antelope,2,warthog,0.45640742778778076
EK004180_02_j03_antelope.jpg,j03,antelope,4,bushbuck,0.877452552318573
EK004235_03_f07_antelope.jpg,f07,antelope,1,baboon,0.3381243348121643
04290462_f11_antelope.jpg,f11,antelope,3,impala,0.47500261664390564
EK001911_e06_antelope.jpg,e06,antelope,23,buffalo,0.23202764987945557
EK000323_f01_antelope.jpg,f01,antelope,5,oribi,0.8174397349357605
01160109_m08_antelope.jpg,m08,antelope,2,warthog,0.393502414226532
2016 09 26 03 07 48_d05_antelope.jpg,d05,antelope,0,waterbuck,0.7672913670539856
02020425_m08_antelope.jpg,m08,antelope,4,bushbuck,0.8895413279533386
EK004565_k06_antelope.jpg,k06,antelope,1,baboon,0.8661847710609436
2016 07 22 21 01 17_f07_antelope.jpg,f07,antelope,0,waterbuck,0.40277814865112305
03220656_g08_antelope.jpg,g08,antelope,4,bushbuck,0.4805580675601959
EK009274_i08_antelope.jpg,i08,antelope,4,bushbuck,0.9630407691001892
2016 10 13 06 43 24_m10_antelope.jpg,m10,antelope,1,baboon,0.9935178756713867
