filename,site,true_class_from_name,pred_class_idx,pred_class_label,pred_conf
EK000642_j09_bird_other.jpg,j09,bird_other,1,baboon,0.7022455334663391
2016 10 04 05 57 10_k08_bird_other.jpg,k08,bird_other,2,warthog,0.65884929895401
B_EK004181_02_k06_bird_other.jpg,k06,bird_other,1,baboon,0.3832584321498871
12040389_d05_bird_other.jpg,d05,bird_other,3,impala,0.6095027923583984
11010292_l05_bird_other.jpg,l05,bird_other,2,warthog,0.9546450972557068
2016 09 03 17 37 14_d03_bird_other.jpg,d03,bird_other,2,warthog,0.9679148197174072
2016 09 07 10 35 43_d07_bird_other.jpg,d07,bird_other,2,warthog,0.903769314289093
11290222_j05_bird_other.jpg,j05,bird_other,2,warthog,0.2702235281467438
2016 09 16 07 13 58_j09_bird_other.jpg,j09,bird_other,2,warthog,0.4922495186328888
2016 09 22 12 44 27_k08_bird_other.jpg,k08,bird_other,2,warthog,0.41464874148368835
2016 09 25 05 54 24_c06_bird_other.jpg,c06,bird_other,1,baboon,0.556717574596405
2016 09 22 05 20 21_d03_bird_other.jpg,d03,bird_other,2,warthog,0.9533609747886658
EK000979_h11_bird_other.jpg,h11,bird_other,1,baboon,0.7578821778297424
EK002916_g10_bird_other.jpg,g10,bird_other,1,baboon,0.9265837073326111
B_EK002712_02_k06_bird_other.jpg,k06,bird_other,1,baboon,0.8841272592544556
06120029_c06_bird_other.jpg,c06,bird_other,1,baboon,0.6254783272743225
10020263_c08_bird_other.jpg,c08,bird_other,2,warthog,0.6166586875915527
10300096_f01_bird_other.jpg,f01,bird_other,2,warthog,0.7601585388183594
2016 09 22 12 28 19_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8257798552513123
EK000813_j09_bird_other.jpg,j09,bird_other,2,warthog,0.32724231481552124
2016 09 22 11 56 34_k08_bird_other.jpg,k08,bird_other,2,warthog,0.7600757479667664
12100299_l05_bird_other.jpg,l05,bird_other,2,warthog,0.3990631103515625
2016 09 22 11 52 43_k08_bird_other.jpg,k08,bird_other,1,baboon,0.6290826201438904
09100959_g08_bird_other.jpg,g08,bird_other,1,baboon,0.9052485823631287
EK000761_j09_bird_other.jpg,j09,bird_other,1,baboon,0.4570326805114746
09070223_f05_bird_other.jpg,f05,bird_other,2,warthog,0.7367609143257141
EK002097_h05_bird_other.jpg,h05,bird_other,1,baboon,0.9968043565750122
EK001196_h11_bird_other.jpg,h11,bird_other,1,baboon,0.5791534781455994
EK009955_01_j13_bird_other.jpg,j13,bird_other,1,baboon,0.6981759667396545
2016 08 19 22 55 44_e02_bird_other.jpg,e02,bird_other,6,elephant,0.3082466423511505
02090488_j11_bird_other.jpg,j11,bird_other,2,warthog,0.8968119025230408
11130690_d07_bird_other.jpg,d07,bird_other,2,warthog,0.993739128112793
04190743_h09_bird_other.jpg,h09,bird_other,1,baboon,0.9314514398574829
2016 08 14 13 14 04_k08_bird_other.jpg,k08,bird_other,1,baboon,0.5430706143379211
2016 09 05 09 42 24_l05_bird_other.jpg,l05,bird_other,2,warthog,0.944717526435852
12280125_e02_bird_other.jpg,e02,bird_other,2,warthog,0.9883096218109131
EK000445_h11_bird_other.jpg,h11,bird_other,1,baboon,0.7989209890365601
2016 07 26 08 30 52_h07_bird_other.jpg,h07,bird_other,1,baboon,0.8727738261222839
EK000507_h11_bird_other.jpg,h11,bird_other,1,baboon,0.9382461905479431
2016 11 08 17 15 22_h09_bird_other.jpg,h09,bird_other,1,baboon,0.5152837038040161
09190221_j05_bird_other.jpg,j05,bird_other,2,warthog,0.41154003143310547
2016 08 10 06 40 47_d03_bird_other.jpg,d03,bird_other,2,warthog,0.5717197060585022
2016 07 16 16 26 59_a06_bird_other.jpg,a06,bird_other,1,baboon,0.620728611946106
2016 08 29 11 10 13_l07_bird_other.jpg,l07,bird_other,2,warthog,0.7094471454620361
12120375_l05_bird_other.jpg,l05,bird_other,1,baboon,0.6143631339073181
2016 10 25 15 46 20_a08_bird_other.jpg,a08,bird_other,1,baboon,0.6386823654174805
2016 09 15 12 57 29_a06_bird_other.jpg,a06,bird_other,2,warthog,0.7785701155662537
2016 10 06 05 52 09_e10_bird_other.jpg,e10,bird_other,1,baboon,0.7268732190132141
EK009405_01_f03_bird_other.jpg,f03,bird_other,2,warthog,0.8911128044128418
10240854_b09_bird_other.jpg,b09,bird_other,2,warthog,0.9279674887657166
02030684_h03_bird_other.jpg,h03,bird_other,2,warthog,0.9921863079071045
EK000608_e04_bird_other.jpg,e04,bird_other,0,waterbuck,0.7773637771606445
2016 09 10 11 16 00_k08_bird_other.jpg,k08,bird_other,1,baboon,0.8829066157341003
2016 08 06 09 19 59_g12_bird_other.jpg,g12,bird_other,1,baboon,0.7512316703796387
2016 08 04 14 30 01_j13_bird_other.jpg,j13,bird_other,2,warthog,0.4986805021762848
