site,species,n_images
a06,impala,340
a06,waterbuck,196
a06,warthog,145
a06,baboon,99
a06,oribi,98
a06,bird_other,89
a06,genet,50
a06,reedbuck,29
a06,wildebeest,21
a06,bushbuck,14
a06,bushpig,12
a06,vervet_monkey,11
a06,antelope,10
a06,kudu,10
a06,elephant,8
a06,buffalo,6
a06,civet,6
a06,guineafowl_helmeted,4
a06,bushbaby,3
a06,hare,2
a06,honey_badger,2
a06,mongoose_white_tailed,2
a06,porcupine,2
a06,reptile,2
a08,baboon,1806
a08,waterbuck,617
a08,warthog,227
a08,genet,216
a08,impala,184
a08,bushbuck,127
a08,elephant,73
a08,bird_other,52
a08,oribi,44
a08,bushpig,38
a08,reedbuck,32
a08,porcupine,23
a08,wildebeest,22
a08,guineafowl_helmeted,18
a08,honey_badger,16
a08,kudu,16
a08,rodent,14
a08,nyala,10
a08,civet,8
a08,pangolin,8
a08,antelope,7
a08,mongoose_banded,6
a08,mongoose_white_tailed,6
a08,sable_antelope,4
a08,samango_monkey,4
a08,ground_hornbill,2
a08,hare,2
a08,mongoose_dwarf,2
a08,duiker,1
a10,baboon,1350
a10,waterbuck,992
a10,nyala,840
a10,bushbuck,434
a10,impala,300
a10,warthog,178
a10,elephant,100
a10,vervet_monkey,98
a10,bushpig,90
a10,genet,56
a10,guineafowl_crested,56
a10,antelope,32
a10,porcupine,32
a10,mongoose_banded,28
a10,kudu,18
a10,civet,14
a10,buffalo,10
a10,bird_other,8
a10,mongoose_large_grey,8
a10,reedbuck,8
a10,guineafowl_helmeted,6
a10,sable_antelope,6
a10,duiker_red,2
a10,honey_badger,2
a10,mongoose_marsh,2
a10,samango_monkey,2
b05,hartebeest,415
b05,impala,376
b05,warthog,372
b05,waterbuck,254
b05,oribi,225
b05,baboon,154
b05,sable_antelope,151
b05,reedbuck,63
b05,buffalo,62
b05,wildebeest,58
b05,vervet_monkey,56
b05,elephant,51
b05,kudu,33
b05,aardvark,30
b05,bushbuck,25
b05,genet,20
b05,civet,18
b05,hare,17
b05,bushpig,16
b05,bird_other,11
b05,antelope,8
b05,duiker,6
b05,porcupine,5
b05,nyala,4
b05,eland,2
b05,mongoose_marsh,2
b05,mongoose_white_tailed,2
b05,serval,2
b07,wildebeest,2846
b07,impala,1757
b07,warthog,1042
b07,waterbuck,1012
b07,baboon,852
b07,nyala,298
b07,oribi,246
b07,bushbuck,164
b07,antelope,82
b07,kudu,61
b07,reedbuck,54
b07,elephant,44
b07,buffalo,42
b07,ground_hornbill,42
b07,mongoose_white_tailed,40
b07,civet,38
b07,hartebeest,33
b07,vervet_monkey,28
b07,bird_other,24
b07,duiker_common,24
b07,bushpig,22
b07,genet,22
b07,hare,20
b07,sable_antelope,11
b07,guineafowl_helmeted,10
b07,duiker,4
b07,lion,4
b07,aardvark,2
b07,duiker_red,2
b07,honey_badger,2
b07,mongoose_marsh,2
b09,baboon,1727
b09,impala,534
b09,warthog,353
b09,waterbuck,336
b09,genet,214
b09,nyala,170
b09,bushbuck,138
b09,hartebeest,133
b09,elephant,65
b09,vervet_monkey,60
b09,oribi,57
b09,guineafowl_helmeted,45
b09,porcupine,44
b09,antelope,42
b09,bushpig,40
b09,kudu,22
b09,bird_other,18
b09,civet,16
b09,sable_antelope,16
b09,samango_monkey,7
b09,buffalo,6
b09,reedbuck,6
b09,mongoose_large_grey,4
b09,mongoose_slender,4
b09,mongoose_white_tailed,4
b09,wildebeest,4
b09,bushbaby,2
b09,hare,2
b09,mongoose_marsh,2
b09,eland,1
c06,bushbuck,3286
c06,oribi,3106
c06,baboon,1353
c06,impala,1012
c06,warthog,816
c06,hartebeest,458
c06,duiker_common,322
c06,porcupine,254
c06,bushpig,160
c06,waterbuck,118
c06,reedbuck,92
c06,genet,90
c06,kudu,70
c06,elephant,69
c06,bird_other,68
c06,nyala,59
c06,aardvark,32
c06,antelope,24
c06,mongoose_marsh,16
c06,guineafowl_helmeted,14
c06,civet,12
c06,duiker_red,12
c06,duiker,11
c06,mongoose_large_grey,8
c06,sable_antelope,8
c06,buffalo,6
c06,hare,6
c06,honey_badger,6
c06,mongoose_slender,6
c06,samango_monkey,6
c06,mongoose_white_tailed,4
c06,eland,3
c06,guineafowl_crested,2
c06,mongoose_banded,2
c08,baboon,848
c08,impala,410
c08,nyala,369
c08,warthog,348
c08,waterbuck,315
c08,bushbuck,304
c08,genet,151
c08,bushpig,112
c08,oribi,108
c08,duiker_common,82
c08,elephant,68
c08,samango_monkey,62
c08,bird_other,45
c08,porcupine,43
c08,antelope,40
c08,vervet_monkey,30
c08,civet,28
c08,kudu,28
c08,hartebeest,18
c08,duiker_red,16
c08,honey_badger,14
c08,mongoose_slender,13
c08,guineafowl_helmeted,12
c08,buffalo,6
c08,bushbaby,6
c08,hare,6
c08,mongoose_white_tailed,6
c08,reedbuck,6
c08,sable_antelope,6
c08,mongoose_banded,4
c08,mongoose_bushy_tailed,4
c08,mongoose_marsh,4
c08,aardvark,2
c08,duiker,2
c08,serval,2
c08,wildebeest,2
d03,bushbuck,1597
d03,waterbuck,1240
d03,baboon,664
d03,warthog,184
d03,vervet_monkey,136
d03,impala,117
d03,bird_other,98
d03,genet,80
d03,porcupine,54
d03,elephant,48
d03,guineafowl_helmeted,46
d03,civet,44
d03,oribi,42
d03,kudu,38
d03,nyala,29
d03,buffalo,26
d03,bushpig,26
d03,honey_badger,25
d03,lion,16
d03,mongoose_marsh,12
d03,rodent,10
d03,antelope,7
d03,serval,6
d03,mongoose_banded,4
d03,duiker,2
d03,mongoose_large_grey,2
d03,mongoose_white_tailed,2
d03,reedbuck,2
d03,reptile,2
d03,sable_antelope,2
d03,hartebeest,1
d05,waterbuck,1643
d05,impala,1637
d05,baboon,1078
d05,warthog,836
d05,nyala,829
d05,bushbuck,404
d05,kudu,155
d05,elephant,132
d05,oribi,105
d05,porcupine,64
d05,antelope,53
d05,bushpig,35
d05,civet,35
d05,duiker,35
