species,n_images
waterbuck,106961
baboon,87391
warthog,65206
impala,48537
bushbuck,37126
oribi,12064
elephant,8920
nyala,8825
genet,6924
civet,3571
bushpig,3542
bird_other,3444
vervet_monkey,3439
kudu,3402
wildebeest,3246
porcupine,3222
antelope,2516
reedbuck,2328
buffalo,2196
guineafowl_helmeted,1739
duiker_red,1483
sable_antelope,1014
hartebeest,728
mongoose_marsh,666
hare,605
duiker_common,537
honey_badger,471
aardvark,410
ground_hornbill,360
mongoose_white_tailed,339
mongoose_slender,322
mongoose_banded,286
mongoose_bushy_tailed,251
rodent,203
lion,178
samango_monkey,176
mongoose_large_grey,171
eland,114
serval,106
bushbaby,104
duiker,98
reptile,98
hippopotamus,72
guineafowl_crested,70
mongoose_dwarf,59
pangolin,42
guineafowl,31
