site,species,n_images
A08,baboon,411
A08,impala,143
A08,waterbuck,134
A08,bushbuck,76
A08,warthog,49
A08,elephant,14
A08,bushpig,12
A08,nyala,10
A08,porcupine,6
A08,kudu,4
A08,civet,3
A08,antelope,2
A08,mongoose_marsh,2
A08,reedbuck,2
A08,sable_antelope,2
A08,honey_badger,1
A08,oribi,1
A08,wilddog,1
A10,waterbuck,123
A10,nyala,57
A10,baboon,47
A10,bushbuck,16
A10,impala,3
A10,elephant,2
A10,bushpig,1
A10,warthog,1
B05,waterbuck,1469
B05,impala,1135
B05,warthog,332
B05,buffalo,160
B05,baboon,123
B05,wildebeest,92
B05,kudu,89
B05,oribi,52
B05,hartebeest,46
B05,sable_antelope,28
B05,elephant,17
B05,antelope,13
B05,reedbuck,12
B05,bushpig,7
B05,civet,5
B05,nyala,4
B05,vervet_monkey,3
B05,wilddog,3
B05,honey_badger,2
B05,bird_other,1
B05,mongoose_white_tailed,1
B07,waterbuck,498
B07,impala,420
B07,wildebeest,192
B07,warthog,171
B07,baboon,107
B07,oribi,27
B07,nyala,19
B07,buffalo,14
B07,kudu,9
B07,reedbuck,6
B07,elephant,4
B07,hartebeest,4
B07,antelope,3
B07,bushpig,3
B07,ground_hornbill,3
B07,bird_other,2
B07,lion,2
B07,bushbuck,1
B07,vervet_monkey,1
B07,wilddog,1
B09,baboon,218
B09,impala,196
B09,waterbuck,109
B09,warthog,76
B09,nyala,57
B09,wildebeest,44
B09,bushbuck,17
B09,bushpig,7
B09,porcupine,7
B09,antelope,5
B09,kudu,5
B09,civet,4
B09,bird_other,3
B09,buffalo,2
B09,elephant,2
B09,genet,2
B09,ground_hornbill,2
B09,hartebeest,2
B09,mongoose_white_tailed,2
B09,oribi,1
B09,reedbuck,1
B09,vervet_monkey,1
C06,impala,499
C06,hartebeest,438
C06,warthog,251
C06,oribi,214
C06,baboon,148
C06,waterbuck,126
C06,reedbuck,54
C06,bird_other,31
C06,bushpig,30
C06,nyala,25
C06,duiker_common,22
C06,bushbuck,21
C06,porcupine,18
C06,antelope,13
C06,elephant,13
C06,genet,9
C06,vervet_monkey,9
C06,honey_badger,5
C06,kudu,5
C06,sable_antelope,5
C06,hare,4
C06,mongoose_white_tailed,4
C06,civet,3
C06,bushbaby,2
C06,wildebeest,2
C06,mongoose_large_grey,1
C06,mongoose_marsh,1
C08,nyala,46
C08,waterbuck,27
C08,baboon,25
C08,bushbuck,13
C08,warthog,11
C08,impala,8
C08,bird_other,7
C08,kudu,6
C08,genet,4
C08,samango_monkey,4
C08,elephant,3
C08,bushpig,2
C08,duiker_common,2
C08,hartebeest,2
C08,civet,1
C08,mongoose_marsh,1
C08,mongoose_slender,1
C08,oribi,1
C08,reedbuck,1
D03,waterbuck,373
D03,bushbuck,102
D03,baboon,90
D03,vervet_monkey,28
D03,genet,26
D03,warthog,13
D03,elephant,12
D03,bird_other,10
D03,impala,7
D03,mongoose_marsh,6
D03,samango_monkey,6
D03,kudu,5
D03,nyala,5
D03,civet,3
D03,serval,3
D03,bushbaby,2
D03,antelope,1
D03,bushpig,1
D03,oribi,1
D05,impala,214
D05,baboon,164
D05,warthog,158
D05,waterbuck,153
D05,nyala,74
D05,bushbuck,29
D05,elephant,15
D05,kudu,12
D05,duiker_common,7
D05,porcupine,5
D05,wildebeest,3
D05,antelope,2
D05,bird_other,2
D05,buffalo,2
D05,oribi,2
D05,sable_antelope,2
D05,bushpig,1
D05,honey_badger,1
D07,impala,2506
D07,waterbuck,926
D07,baboon,554
D07,warthog,455
D07,nyala,263
D07,kudu,83
D07,oribi,77
D07,elephant,64
D07,bushbuck,61
D07,sable_antelope,53
D07,hartebeest,32
D07,wildebeest,27
D07,vervet_monkey,21
D07,buffalo,20
D07,bushpig,14
D07,bird_other,11
D07,antelope,8
D07,wilddog,7
D07,civet,6
D07,reedbuck,5
D07,aardvark,4
D07,porcupine,4
D07,ground_hornbill,2
D07,lion,2
D07,birdraptor,1
E02,impala,2442
E02,waterbuck,1721
E02,baboon,319
E02,oribi,230
E02,warthog,75
E02,bird_other,48
E02,bushbuck,23
E02,kudu,15
E02,reedbuck,10
E02,ground_hornbill,9
E02,vervet_monkey,8
E02,civet,5
E02,bushpig,4
E02,nyala,3
E02,wildebeest,3
E02,antelope,2
E02,genet,1
E02,hippopotamus,1
E02,mongoose_marsh,1
E02,samango_monkey,1
E04,impala,200
E04,waterbuck,198
E04,baboon,148
E04,vervet_monkey,90
E04,genet,40
E04,warthog,24
E04,civet,9
E04,bird_other,7
E04,bushbuck,7
E04,kudu,7
E04,ground_hornbill,5
E04,antelope,1
E04,buffalo,1
E04,bushpig,1
E04,mongoose_marsh,1
E04,oribi,1
E04,samango_monkey,1
E04,serval,1
E06,baboon,129
E06,waterbuck,98
E06,impala,83
E06,warthog,61
E06,bushbuck,55
E06,nyala,45
E06,kudu,19
E06,elephant,4
E06,aardvark,2
E06,bird_other,2
E06,civet,2
E06,porcupine,2
E06,antelope,1
E06,genet,1
E08,waterbuck,31
E08,impala,12
E08,wildebeest,11
E08,baboon,7
E08,bushbuck,7
E08,warthog,7
E08,elephant,6
E08,hartebeest,5
E08,nyala,4
E08,oribi,2
E08,bushpig,1
E08,kudu,1
E10,waterbuck,55
E10,baboon,27
E10,warthog,15
E10,hartebeest,12
E10,impala,11
E10,bushbuck,6
E10,civet,5
E10,nyala,5
E10,reedbuck,5
E10,genet,3
E10,aardvark,1
E10,bird_other,1
E10,oribi,1
E10,sable_antelope,1
E12,waterbuck,1806
E12,baboon,1706
E12,warthog,311
E12,bushbuck,227
E12,elephant,114
E12,bushpig,81
E12,kudu,70
E12,impala,59
E12,nyala,41
E12,porcupine,16
E12,reedbuck,15
E12,civet,10
E12,antelope,7
E12,bird_other,7
E12,hartebeest,7
E12,mongoose_marsh,5
E12,genet,4
E12,ground_hornbill,4
E12,sable_antelope,3
E12,aardvark,2
E12,buffalo,1
E12,honey_badger,1
F01,baboon,317
F01,impala,207
F01,waterbuck,142
F01,bird_other,37
F01,bushbuck,23
F01,elephant,13
F01,warthog,10
F01,oribi,7
F01,vervet_monkey,7
F01,genet,6
F01,kudu,3
F01,antelope,2
F01,civet,2
F01,ground_hornbill,2
F01,lion,2
F01,nyala,2
F01,mongoose_marsh,1
F01,reedbuck,1
F01,serval,1
F03,impala,404
F03,waterbuck,251
F03,warthog,149
F03,baboon,111
F03,nyala,78
F03,vervet_monkey,42
F03,bushbuck,40
F03,elephant,17
F03,kudu,7
F03,bird_other,4
F03,genet,3
F03,wildebeest,3
F03,civet,2
F03,antelope,1
F03,buffalo,1
F03,mongoose_marsh,1
F03,oribi,1
F03,porcupine,1
F03,reedbuck,1
F03,wilddog,1
F05,warthog,364
F05,impala,196
F05,waterbuck,109
F05,baboon,100
F05,oribi,88
F05,nyala,48
F05,bushbuck,15
F05,bird_other,14
F05,sable_antelope,8
F05,vervet_monkey,5
F05,bushpig,2
F05,duiker_common,2
F05,duiker_red,2
F05,genet,2
F05,buffalo,1
F05,civet,1
F05,elephant,1
F05,porcupine,1
F05,reedbuck,1
F05,reptile,1
F07,waterbuck,816
F07,impala,572
F07,baboon,539
F07,warthog,235
F07,buffalo,80
F07,wildebeest,72
F07,sable_antelope,63
F07,nyala,56
F07,elephant,48
F07,kudu,38
F07,hartebeest,33
F07,bushbuck,18
F07,oribi,12
F07,bushpig,4
F07,lion,3
F07,bird_other,2
F07,porcupine,2
F07,vervet_monkey,2
F07,aardvark,1
F07,antelope,1
F07,civet,1
F07,mongoose_white_tailed,1
F07,reedbuck,1
F11,baboon,51
F11,warthog,40
F11,bushbuck,33
F11,waterbuck,25
F11,hartebeest,24
F11,impala,19
F11,elephant,13
F11,buffalo,10
F11,oribi,8
F11,sable_antelope,7
F11,bushpig,6
F11,kudu,6
F11,duiker_common,2
F11,hippopotamus,2
F11,nyala,2
F11,antelope,1
F11,eland,1
F11,reedbuck,1
