site,question__species,n_images
A08,baboon,471
A08,waterbuck,249
A08,impala,169
A08,warthog,86
A08,bushbuck,54
A08,nyala,13
A08,bushpig,9
A08,vervet_monkey,7
A08,elephant,6
A08,kudu,6
A08,porcupine,5
A08,honey_badger,4
A08,reedbuck,4
A08,buffalo,2
A08,civet,2
A08,antelope,1
A08,genet,1
A08,mongoose_banded,1
A08,mongoose_white_tailed,1
A08,wildebeest,1
B05,waterbuck,2341
B05,impala,1039
B05,baboon,246
B05,hartebeest,221
B05,warthog,196
B05,kudu,102
B05,wildebeest,81
B05,buffalo,52
B05,bushbuck,44
B05,oribi,34
B05,bushpig,30
B05,antelope,13
B05,elephant,9
B05,nyala,9
B05,bird_other,5
B05,porcupine,5
B05,reedbuck,3
B05,vervet_monkey,3
B05,civet,2
B05,duiker_common,2
B05,duiker_red,1
B05,genet,1
B05,hare,1
B05,sable_antelope,1
B05,wilddog,1
B07,waterbuck,1524
B07,impala,1414
B07,warthog,920
B07,baboon,533
B07,wildebeest,500
B07,reedbuck,138
B07,nyala,119
B07,kudu,65
B07,oribi,59
B07,antelope,19
B07,elephant,18
B07,buffalo,17
B07,vervet_monkey,14
B07,bird_other,8
B07,bushbuck,8
B07,bushpig,8
B07,sable_antelope,5
B07,wilddog,5
B07,civet,4
B07,crane,4
B07,porcupine,4
B07,ground_hornbill,3
B07,hartebeest,3
B07,eland,1
B07,genet,1
B07,lion,1
B07,mongoose_marsh,1
B09,baboon,439
B09,impala,216
B09,waterbuck,173
B09,warthog,114
B09,nyala,44
B09,wildebeest,15
B09,bushpig,12
B09,kudu,10
B09,civet,9
B09,bushbuck,7
B09,bird_other,5
B09,elephant,5
B09,porcupine,5
B09,buffalo,3
B09,antelope,2
B09,ground_hornbill,2
B09,hartebeest,2
C06,warthog,928
C06,baboon,804
C06,impala,708
C06,waterbuck,469
C06,oribi,362
C06,bushbuck,305
C06,civet,169
C06,kudu,162
C06,reedbuck,125
C06,porcupine,108
C06,nyala,99
C06,hartebeest,71
C06,bird_other,66
C06,genet,63
C06,bushpig,59
C06,mongoose_marsh,46
C06,vervet_monkey,46
C06,wildebeest,40
C06,elephant,32
C06,mongoose_white_tailed,19
C06,hare,12
C06,crane,9
C06,honey_badger,9
C06,antelope,5
C06,mongoose_egyptian,2
C06,serval,2
C06,aardvark,1
C06,buffalo,1
C06,bushbaby,1
C06,mongoose,1
C06,mongoose_slender,1
C06,reptile,1
C08,impala,318
C08,waterbuck,240
C08,warthog,231
C08,nyala,199
C08,baboon,170
C08,bushbuck,53
C08,oribi,50
C08,genet,22
C08,bushpig,13
C08,bird_other,11
C08,kudu,10
C08,vervet_monkey,7
C08,wildebeest,5
C08,mongoose_slender,4
C08,mongoose_banded,3
C08,civet,2
C08,mongoose_marsh,2
C08,reptile,2
C08,wilddog,2
C08,buffalo,1
C08,elephant,1
C08,porcupine,1
C08,reedbuck,1
D03,waterbuck,380
D03,bushbuck,104
D03,baboon,83
D03,genet,26
D03,vervet_monkey,22
D03,warthog,13
D03,elephant,12
D03,samango_monkey,11
D03,bird_other,9
D03,mongoose_marsh,5
D03,nyala,5
D03,civet,4
D03,impala,4
D03,kudu,4
D03,bushbaby,2
D03,serval,2
D03,bushpig,1
D03,mongoose_egyptian,1
D03,oribi,1
D05,impala,198
D05,baboon,163
D05,warthog,151
D05,waterbuck,148
D05,nyala,70
D05,bushbuck,31
D05,elephant,15
D05,kudu,7
D05,duiker_common,6
D05,porcupine,5
D05,oribi,4
D05,wildebeest,3
D05,buffalo,2
D05,sable_antelope,2
D05,antelope,1
D05,bird_other,1
D05,ground_hornbill,1
D05,honey_badger,1
D05,reedbuck,1
D07,impala,2512
D07,waterbuck,920
D07,baboon,553
D07,warthog,455
D07,nyala,273
D07,oribi,77
D07,kudu,71
D07,elephant,64
D07,bushbuck,52
D07,sable_antelope,40
D07,hartebeest,32
D07,wildebeest,28
D07,vervet_monkey,21
D07,buffalo,18
D07,bird_other,13
D07,bushpig,13
D07,reedbuck,11
D07,wilddog,7
D07,civet,6
D07,porcupine,5
D07,aardvark,4
D07,antelope,3
D07,ground_hornbill,2
D07,lion,2
D07,birdraptor,1
D07,samango_monkey,1
E02,impala,3121
E02,waterbuck,2265
E02,oribi,422
E02,baboon,174
E02,bushbuck,40
E02,warthog,38
E02,elephant,13
E02,nyala,9
E02,reedbuck,8
E02,vervet_monkey,7
E02,civet,4
E02,antelope,2
E02,bird_other,2
E02,ground_hornbill,2
E02,kudu,2
E02,mongoose_marsh,2
E02,buffalo,1
E02,bushpig,1
E02,duiker_common,1
E02,genet,1
E02,honey_badger,1
E04,impala,1845
E04,baboon,809
E04,vervet_monkey,368
E04,waterbuck,358
E04,bird_other,172
E04,warthog,71
E04,genet,60
E04,kudu,22
E04,elephant,19
E04,civet,13
E04,bushbuck,12
E04,nyala,8
E04,oribi,7
E04,ground_hornbill,6
E04,reedbuck,5
E04,mongoose_marsh,4
E04,samango_monkey,4
E04,bushpig,3
E04,mongoose_banded,2
E04,mongoose_egyptian,2
E04,serval,2
E04,birdraptor,1
E04,porcupine,1
E04,samango,1
E08,impala,111
E08,warthog,41
E08,waterbuck,38
E08,baboon,28
E08,nyala,16
E08,bushbuck,11
E08,genet,10
E08,oribi,5
E08,civet,3
E08,elephant,3
E08,bird_other,2
E08,duiker_common,2
E08,kudu,2
E08,bushpig,1
E08,hartebeest,1
E08,honey_badger,1
E08,mongoose_marsh,1
E08,porcupine,1
E08,reedbuck,1
E08,wilddog,1
E10,waterbuck,179
E10,baboon,152
E10,warthog,116
E10,impala,102
E10,reedbuck,92
E10,bushbuck,43
E10,oribi,23
E10,hartebeest,19
E10,kudu,16
E10,nyala,15
E10,bushpig,7
E10,buffalo,5
E10,antelope,3
E10,genet,3
E10,porcupine,3
E10,sable_antelope,3
E10,mongoose_marsh,2
E10,wildebeest,2
E10,aardvark,1
E10,bird_other,1
E10,elephant,1
E10,honey_badger,1
E10,sable,1
F01,baboon,539
F01,impala,438
F01,waterbuck,170
F01,bird_other,86
F01,bushbuck,79
F01,elephant,37
F01,reedbuck,32
F01,vervet_monkey,28
F01,genet,12
F01,civet,11
F01,oribi,10
F01,warthog,9
F01,kudu,6
F01,ground_hornbill,3
F01,buffalo,2
F01,bushbaby,2
F01,porcupine,2
F01,reptile,2
F01,antelope,1
F01,bushpig,1
F01,honey_badger,1
F01,mongoose,1
F01,mongoose_large_grey,1
F01,pangolin,1
F01,samango_monkey,1
F05,impala,157
F05,warthog,123
F05,baboon,98
F05,waterbuck,58
F05,nyala,49
F05,bushbuck,23
F05,bird_other,18
