species,n_images
waterbuck,24064
impala,13528
baboon,11472
warthog,7046
bushbuck,3092
nyala,2052
oribi,943
elephant,924
kudu,788
bird_other,701
hartebeest,613
genet,477
wildebeest,461
vervet_monkey,452
buffalo,409
bushpig,327
sable_antelope,249
civet,199
porcupine,166
reedbuck,137
antelope,90
mongoose_marsh,88
ground_hornbill,52
duiker_common,37
hare,30
honey_badger,28
lion,27
aardvark,23
eland,23
wilddog,22
mongoose_slender,20
mongoose_white_tailed,19
bushbaby,17
duiker_red,16
reptile,15
samango_monkey,13
mongoose_large_grey,11
mongoose_banded,7
serval,7
hippopotamus,7
pangolin,5
birdraptor,5
mongoose_bushy_tailed,2
crane,1
duiker,1
