question__species,n_images
waterbuck,28277
impala,19850
baboon,19324
warthog,9399
bushbuck,5573
nyala,2861
elephant,1486
oribi,1474
bird_other,984
kudu,905
genet,750
vervet_monkey,746
wildebeest,690
bushpig,578
civet,523
reedbuck,499
porcupine,433
hartebeest,366
buffalo,269
sable_antelope,241
mongoose_marsh,191
duiker_red,133
antelope,110
ground_hornbill,101
honey_badger,58
mongoose_slender,51
hare,50
mongoose_white_tailed,39
wilddog,37
reptile,33
aardvark,30
samango_monkey,29
mongoose,28
serval,23
mongoose_banded,21
crane,16
mongoose_large_grey,15
mongoose_egyptian,14
lion,14
hippopotamus,14
duiker_common,14
bushbaby,8
pangolin,8
suni,8
eland,5
birdraptor,5
duiker,2
armadillo,1
sable,1
samango,1
vulture,1
