site,species,n_images
A06,impala,340
A06,waterbuck,196
A06,warthog,145
A06,baboon,99
A06,oribi,98
A06,bird_other,89
A06,genet,50
A06,reedbuck,29
A06,wildebeest,21
A06,bushbuck,14
A06,bushpig,12
A06,vervet_monkey,11
A06,antelope,10
A06,kudu,10
A06,elephant,8
A06,buffalo,6
A06,civet,6
A06,guineafowl_helmeted,4
A06,bushbaby,3
A06,hare,2
A06,honey_badger,2
A06,mongoose_white_tailed,2
A06,porcupine,2
A06,reptile,2
A08,baboon,1806
A08,waterbuck,617
A08,warthog,227
A08,genet,216
A08,impala,184
A08,bushbuck,127
A08,elephant,73
A08,bird_other,52
A08,oribi,44
A08,bushpig,38
A08,reedbuck,32
A08,porcupine,23
A08,wildebeest,22
A08,guineafowl_helmeted,18
A08,honey_badger,16
A08,kudu,16
A08,rodent,14
A08,nyala,10
A08,civet,8
A08,pangolin,8
A08,antelope,7
A08,mongoose_banded,6
A08,mongoose_white_tailed,6
A08,sable_antelope,4
A08,samango_monkey,4
A08,ground_hornbill,2
A08,hare,2
A08,mongoose_dwarf,2
A10,baboon,1350
A10,waterbuck,992
A10,nyala,840
A10,bushbuck,434
A10,impala,300
A10,warthog,178
A10,elephant,100
A10,vervet_monkey,98
A10,bushpig,90
A10,genet,56
A10,guineafowl_crested,56
A10,antelope,32
A10,porcupine,32
A10,mongoose_banded,28
A10,kudu,18
A10,civet,14
A10,buffalo,10
A10,bird_other,8
A10,mongoose_large_grey,8
A10,reedbuck,8
A10,guineafowl_helmeted,6
A10,sable_antelope,6
A10,duiker_red,2
A10,honey_badger,2
A10,mongoose_marsh,2
A10,samango_monkey,2
B05,impala,376
B05,warthog,372
B05,waterbuck,254
B05,oribi,225
B05,hartebeest,201
B05,baboon,154
B05,sable_antelope,151
B05,reedbuck,63
B05,buffalo,62
B05,wildebeest,58
B05,vervet_monkey,56
B05,elephant,51
B05,kudu,33
B05,aardvark,30
B05,bushbuck,25
B05,genet,20
B05,civet,18
B05,hare,17
B05,bushpig,16
B05,bird_other,11
B05,antelope,8
B05,porcupine,5
B05,nyala,4
B05,mongoose_marsh,2
B05,mongoose_white_tailed,2
B05,serval,2
B07,wildebeest,2873
B07,impala,1761
B07,warthog,1042
B07,waterbuck,1016
B07,baboon,852
B07,nyala,298
B07,oribi,246
B07,bushbuck,164
B07,antelope,82
B07,kudu,61
B07,reedbuck,54
B07,elephant,44
B07,buffalo,42
B07,ground_hornbill,42
B07,mongoose_white_tailed,40
B07,civet,38
B07,vervet_monkey,28
B07,bird_other,24
B07,duiker_common,24
B07,hartebeest,24
B07,bushpig,22
B07,genet,22
B07,hare,20
B07,sable_antelope,11
B07,guineafowl_helmeted,10
B07,lion,4
B07,aardvark,2
B07,duiker_red,2
B07,honey_badger,2
B07,mongoose_marsh,2
B09,baboon,1727
B09,impala,534
B09,warthog,353
B09,waterbuck,336
B09,genet,214
B09,nyala,170
B09,bushbuck,138
B09,hartebeest,130
B09,elephant,65
B09,vervet_monkey,60
B09,oribi,57
B09,guineafowl_helmeted,45
B09,porcupine,44
B09,antelope,42
B09,bushpig,40
B09,kudu,22
B09,bird_other,18
B09,civet,16
B09,sable_antelope,16
B09,samango_monkey,7
B09,buffalo,6
B09,reedbuck,6
B09,mongoose_large_grey,4
B09,mongoose_slender,4
B09,mongoose_white_tailed,4
B09,wildebeest,4
B09,bushbaby,2
B09,hare,2
B09,mongoose_marsh,2
C06,bushbuck,3286
C06,oribi,3106
C06,baboon,1353
C06,impala,1012
C06,warthog,816
C06,duiker_common,322
C06,porcupine,254
C06,bushpig,160
C06,waterbuck,118
C06,reedbuck,92
C06,genet,90
C06,kudu,70
C06,elephant,69
C06,bird_other,68
C06,nyala,59
C06,aardvark,32
C06,antelope,24
C06,mongoose_marsh,16
C06,guineafowl_helmeted,14
C06,civet,12
C06,duiker_red,12
C06,mongoose_large_grey,8
C06,sable_antelope,8
C06,buffalo,6
C06,hare,6
C06,honey_badger,6
C06,mongoose_slender,6
C06,samango_monkey,6
C06,mongoose_white_tailed,4
C06,eland,2
C06,guineafowl_crested,2
C06,hartebeest,2
C06,mongoose_banded,2
C08,baboon,848
C08,impala,410
C08,nyala,369
C08,warthog,348
C08,waterbuck,315
C08,bushbuck,304
C08,genet,151
C08,bushpig,112
C08,oribi,108
C08,duiker_common,82
C08,elephant,68
C08,samango_monkey,62
C08,bird_other,45
C08,porcupine,43
C08,antelope,40
C08,vervet_monkey,30
C08,civet,28
C08,kudu,28
C08,hartebeest,17
C08,duiker_red,16
C08,honey_badger,14
C08,mongoose_slender,13
C08,guineafowl_helmeted,12
C08,buffalo,6
C08,bushbaby,6
C08,hare,6
C08,mongoose_white_tailed,6
C08,reedbuck,6
C08,sable_antelope,6
C08,mongoose_banded,4
C08,mongoose_bushy_tailed,4
C08,mongoose_marsh,4
C08,aardvark,2
C08,serval,2
C08,wildebeest,2
D03,bushbuck,1597
D03,waterbuck,1240
D03,baboon,666
D03,warthog,184
D03,vervet_monkey,136
D03,impala,117
D03,bird_other,98
D03,genet,80
D03,porcupine,54
D03,elephant,48
D03,guineafowl_helmeted,46
D03,civet,44
D03,oribi,42
D03,kudu,38
D03,nyala,29
D03,buffalo,26
D03,bushpig,26
D03,honey_badger,25
D03,lion,16
D03,mongoose_marsh,12
D03,rodent,10
D03,antelope,7
D03,serval,6
D03,mongoose_banded,4
D03,mongoose_large_grey,2
D03,mongoose_white_tailed,2
D03,reedbuck,2
D03,reptile,2
D03,sable_antelope,2
D03,hartebeest,1
D05,waterbuck,1648
D05,impala,1641
D05,baboon,1078
D05,warthog,838
D05,nyala,829
D05,bushbuck,404
D05,kudu,155
D05,elephant,132
D05,oribi,105
D05,porcupine,66
D05,antelope,53
D05,bushpig,35
D05,civet,35
D05,duiker,27
D05,bird_other,23
D05,vervet_monkey,21
D05,duiker_red,20
D05,genet,16
D05,sable_antelope,15
D05,samango_monkey,13
D05,hare,12
