,train,valid,holdout,total
waterbuck,56777,24333,23387,104497
baboon,51091,21897,13984,86972
warthog,36128,15489,13485,65102
impala,23845,10223,14081,48149
bushbuck,20338,8711,8042,37091
oribi,6063,2598,3387,12048
elephant,5086,2179,1654,8919
nyala,3822,1638,3365,8825
genet,4059,1737,1124,6920
civet,2108,905,558,3571
bushpig,2021,869,652,3542
wildebeest,2128,913,178,3219
reedbuck,1043,452,833,2328
buffalo,1275,546,375,2196
duiker_red,1016,440,26,1482
hartebeest,359,155,214,728
mongoose_marsh,251,106,309,666
duiker_common,335,148,54,537
mongoose_white_tailed,187,86,66,339
mongoose_slender,209,95,18,322
mongoose_banded,172,76,38,286
mongoose_bushy_tailed,154,68,29,251
mongoose_large_grey,93,41,37,171
eland,80,34,0,114
duiker,44,21,32,97
hippopotamus,23,9,40,72
mongoose_dwarf,37,18,4,59
pangolin,21,13,8,42
__ALL__,218765,93800,85980,398545
